I_48_0 : compl=2^64.5138 (prob=2^-71.5138)
II_46_0 : compl=2^65.0808 (prob=2^-72.0808)
I_50_0 : compl=2^65.2793 (prob=2^-72.2793)
I_49_0 : compl=2^65.4313 (prob=2^-72.4313)
II_51_0 : compl=2^65.7008 (prob=2^-72.7008)
II_52_0 : compl=2^65.7008 (prob=2^-72.7008)
I_51_0 : compl=2^66.4313 (prob=2^-73.4313)
II_50_0 : compl=2^66.8464 (prob=2^-73.8464)
II_53_0 : compl=2^67.1862 (prob=2^-74.1862)
I_48_2 : compl=2^67.1887 (prob=2^-74.1887)
II_54_0 : compl=2^67.5081 (prob=2^-74.5081)
I_49_2 : compl=2^67.5424 (prob=2^-74.5424)
II_56_0 : compl=2^68.0342 (prob=2^-75.0342)
II_45_0 : compl=2^68.2508 (prob=2^-75.2508)
I_47_0 : compl=2^68.2793 (prob=2^-75.2793)
I_50_2 : compl=2^68.3904 (prob=2^-75.3904)
II_49_0 : compl=2^68.4075 (prob=2^-75.4075)
II_55_0 : compl=2^68.8707 (prob=2^-75.8707)
II_48_0 : compl=2^68.8788 (prob=2^-75.8788)
II_47_0 : compl=2^68.9288 (prob=2^-75.9288)
I_46_0 : compl=2^69.0163 (prob=2^-76.0163)
I_52_0 : compl=2^69.2938 (prob=2^-76.2938)
II_50_2 : compl=2^69.8967 (prob=2^-76.8967)
I_51_2 : compl=2^70.32 (prob=2^-77.32)
I_47_2 : compl=2^70.3904 (prob=2^-77.3904)
I_45_0 : compl=2^70.4858 (prob=2^-77.4858)
I_44_0 : compl=2^70.5424 (prob=2^-77.5424)
II_51_2 : compl=2^70.5488 (prob=2^-77.5488)
I_43_0 : compl=2^70.7939 (prob=2^-77.7939)
II_46_2 : compl=2^71.0834 (prob=2^-78.0834)
II_49_2 : compl=2^71.4638 (prob=2^-78.4638)
I_46_2 : compl=2^71.9257 (prob=2^-78.9257)
